PČ;Názov kraja;Názov okresu;"Názov ZÚJ 
(obec/mestská časť/vojenský obvod)";Názov časti obce;Názov ZSJ;Matričný úrad (m);"Výmera ZÚJ 
v ha";Hustota obyvateľstva (obyv./km?);Počet obyvateľov spolu ;Muži;Ženy;"Počet obyvateľov
v predproduktívnom veku (0 – 14) ";"Počet obyvateľov
v produktívnom veku (15 – 64)";"Počet obyvateľov 
v poproduktívnom veku (65+) ";Ekonomicky aktívne obyvateľstvo;"Pracujúci 
v primárnom sektore";"Pracujúci 
v sekundárnom sektore";"Pracujúci 
v terciárnom sektore";"Pracujúci 
v kvartérnom sektore ";Počet trvalo obývaných domov spolu;Počet trvalo obývaných bytov spolu;"Počet trvalo obývaných bytov 
v bytových domoch";"Počet trvalo obývaných bytov 
v rodinných domoch";Počet obyvateľov so súčasným pobytom (SP) spolu;Obyvateľstvo (SP) odchádzajúce za prácou;Počet cenozvých domácností (SP);"Kód 
kraja";"Kód 
okresu";"Kód ZÚJ 
(obec/mestská časť/vojenský obvod)";"Kód 
časti obce";"Kód 
ZSJ";Typ územnej úrovne;;;
83;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Trnávka - juh;;;;3 904;1 848;2 056;824;2 611;469;2 140;3;184;702;892;455;1 576;1 194;311;4 827;1 960;2 564;1;102;529320;;2053460;základná sídelná jednotka;;;
84;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Trnávka - sever;;;;3 722;1 813;1 909;544;2 530;648;2 069;8;204;776;738;704;1 349;700;589;3 764;1 338;2 079;1;102;529320;;2053540;základná sídelná jednotka;;;
85;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Ústredná nákladná stanica;;;;30;18;12;5;17;8;15;1;2;6;3;2;13;12;0;50;17;31;1;102;529320;;2056050;základná sídelná jednotka;;;
86;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Vlčie hrdlo;;;;47;25;22;10;32;5;25;0;2;15;4;14;18;5;1;50;18;25;1;102;529320;;2056300;základná sídelná jednotka;;;
87;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Vstupný areál Slovnaft;;;;988;458;530;100;736;152;637;2;124;215;193;51;530;501;0;1 333;606;899;1;102;529320;;2056130;základná sídelná jednotka;;;
88;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Záhradníctvo;;;;131;68;63;19;95;17;73;0;7;23;27;56;56;0;2;132;45;67;1;102;529320;;2054270;základná sídelná jednotka;;;
89;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Zlaté piesky;;;;40;20;20;0;32;8;14;0;1;5;4;11;11;0;1;39;6;27;1;102;529320;;2059660;základná sídelná jednotka;;;
90;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Zvolenská ulica;;;;3 585;1 646;1 939;497;2 447;641;2 103;4;179;619;935;253;1 597;1 397;91;3 915;1 664;2 384;1;102;529320;;2042770;základná sídelná jednotka;;;
91;Bratislavský;Bratislava II;Bratislava - Vrakuňa;;;m;1030;2011;20 711;9 945;10 766;3 126;14 192;3 393;11 654;35;1 428;4 326;3 910;1 724;7 688;6 188;1 258;20 072;7 203;10 701;1;102;529338;;;obec;;;
92;Bratislavský;Bratislava II;Bratislava - Vrakuňa; ;Čistiareň odpadových vôd;;;;138;79;59;14;113;11;42;0;7;9;10;8;8;0;3;773;222;581;1;102;529338;;2793580;základná sídelná jednotka;;;
93;Bratislavský;Bratislava II;Bratislava - Vrakuňa; ;Dolné hony - sever;;;;7 661;3 577;4 084;1 015;4 856;1 790;4 149;11;502;1 567;1 380;219;3 128;3 116;1;6 983;2 601;3 880;1;102;529338;;2793400;základná sídelná jednotka;;;
94;Bratislavský;Bratislava II;Bratislava - Vrakuňa; ;Horné diely;;;;957;458;499;194;692;71;561;2;86;190;212;174;352;192;147;1 063;413;504;1;102;529338;;2817350;základná sídelná jednotka;;;
95;Bratislavský;Bratislava II;Bratislava - Vrakuňa; ;Hrušov;;;;624;322;302;121;437;66;365;0;31;131;142;208;212;0;185;755;297;325;1;102;529338;;2702700;základná sídelná jednotka;;;
96;Bratislavský;Bratislava II;Bratislava - Vrakuňa; ;Nová Vrakuňa;;;;2 544;1 235;1 309;535;1 740;269;1 436;4;144;474;581;737;900;88;694;2 925;1 111;1 364;1;102;529338;;2702880;základná sídelná jednotka;;;
97;Bratislavský;Bratislava II;Bratislava - Vrakuňa; ;Ubytovňa stavbárov;;;;1 548;768;780;192;1 131;225;776;3;91;304;204;22;596;587;8;1 377;412;825;1;102;529338;;2793310;základná sídelná jednotka;;;
